name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Canon City,Valid,H6,1400,Fell,01/01/1973 12:00:00 AM,38.47028,-105.24139,"(38.470280, -105.241390)"
Cape Girardeau,Valid,H6,2300,Fell,01/01/1846 12:00:00 AM,37.26667,-89.58333,"(37.266670, -89.583330)"
Capilla del Monte,Valid,H6,750,Fell,01/01/1934 12:00:00 AM,-30.88333,-64.55,"(-30.883330, -64.550000)"
Carancas,Valid,H4-5,342,Fell,01/01/2007 12:00:00 AM,-16.66444,-69.04389,"(-16.664440, -69.043890)"
Caratash,Valid,LL6,8,Fell,01/01/1902 12:00:00 AM,38.5,27,"(38.500000, 27.000000)"
Castalia,Valid,H5,7300,Fell,01/01/1874 12:00:00 AM,36.08333,-78.06667,"(36.083330, -78.066670)"
Castel Berardenga,Valid,Stone-uncl,,Fell,01/01/1791 12:00:00 AM,43.35,11.5,"(43.350000, 11.500000)"
Castine,Valid,L6,94,Fell,01/01/1848 12:00:00 AM,44.38333,-68.75,"(44.383330, -68.750000)"
Castrovillari,Valid,Stone-uncl,15000,Fell,01/01/1583 12:00:00 AM,39.8,16.2,"(39.800000, 16.200000)"
Caswell County,Valid,OC,1360,Fell,01/01/1810 12:00:00 AM,36.5,-79.25,"(36.500000, -79.250000)"
Ceniceros,Valid,L3.7,1025,Fell,01/01/1988 12:00:00 AM,26.46667,-105.23333,"(26.466670, -105.233330)"
Centerville,Valid,H5,45.6,Fell,01/01/1956 12:00:00 AM,43.2,-96.91667,"(43.200000, -96.916670)"
Cereseto,Valid,H5,6460,Fell,01/01/1840 12:00:00 AM,45.08333,8.3,"(45.083330, 8.300000)"
Chadong,Valid,L6,3700,Fell,01/01/1998 12:00:00 AM,28.53333,109.31667,"(28.533330, 109.316670)"
Chail,Valid,H6,0.5,Fell,01/01/1814 12:00:00 AM,25.36667,81.66667,"(25.366670, 81.666670)"
Chainpur,Valid,LL3.4,8200,Fell,01/01/1907 12:00:00 AM,25.85,83.48333,"(25.850000, 83.483330)"
Chajari,Valid,L5,18300,Fell,01/01/1933 12:00:00 AM,-30.78333,-58.05,"(-30.783330, -58.050000)"
